day,hour,time,time_h,open,open_h,setup,aosetup,telsetup,offsets,wfs,mode,magnitude
20180105,10:10:23,657,0.1825,416,0.115555555556,218,106,111,23,LBTI,FLAOAO,14.3199996948
20180105,10:29:51,1540,0.427777777778,1374,0.381666666667,155,133,22,9,LBTI,FLAOAO,15.0
20180105,10:55:46,9088,2.52444444444,8598,2.38833333333,360,201,159,129,LBTI,FLAOAO,12.0600004196
20180106,00:34:52,1028,0.285555555556,372,0.103333333333,651,104,546,4,LBTI,FLAOAO,2.04999995232
20180106,00:52:16,1666,0.462777777778,1179,0.3275,409,76,333,76,LBTI,FLAOAO,4.90000009537
20180106,01:20:21,1352,0.375555555556,711,0.1975,640,89,551,0,LBTI,FLAOAO,3.5
20180106,02:17:10,5515,1.53194444444,5315,1.47638888889,200,88,112,0,LBTI,FLAOAO,13.0
20180106,04:00:27,1417,0.393611111111,1256,0.348888888889,160,91,69,0,LBTI,FLAOAO,7.57999992371
20180106,05:01:46,2318,0.643888888889,1706,0.473888888889,611,84,527,0,LBTI,FLAOAO,7.57999992371
20180106,05:47:45,2481,0.689166666667,524,0.145555555556,976,75,901,979,LBTI,FLAOAO,5.59999990463
20180106,06:29:23,4172,1.15888888889,3626,1.00722222222,294,81,212,252,LBTI,FLAOAO,4.5
20180106,07:41:25,6103,1.69527777778,5550,1.54166666667,438,98,340,114,LBTI,FLAOAO,4.59999990463
20180106,09:23:27,1525,0.423611111111,885,0.245833333333,640,112,528,0,LBTI,FLAOAO,7.01000022888
20180106,09:51:58,10903,3.02861111111,10044,2.79,395,104,290,463,LBTI,FLAOAO,4.59999990463
20180108,01:54:29,1254,0.348333333333,86,0.0238888888889,1151,170,981,16,LBTI,FLAOAO,2.04999995232
20180108,02:59:31,784,0.217777777778,478,0.132777777778,217,134,82,89,LBTI,FLAOAO,10.0
20180108,03:15:57,19453,5.40361111111,17324,4.81222222222,210,124,85,1919,LBTI,FLAOAO,10.0
20180108,08:40:39,555,0.154166666667,118,0.0327777777778,402,75,326,34,LBTI,FLAOAO,2.52999997139
20180108,08:53:02,10077,2.79916666667,9472,2.63111111111,437,117,320,168,LBTI,FLAOAO,14.3199996948
20180108,12:18:11,1747,0.485277777778,1379,0.383055555556,368,196,171,0,LBTI,FLAOAO,14.3199996948
20180220,12:29:39,578,0.160555555556,32,0.00888888888889,545,306,238,0,FLAO,FLAOAO,12.0
20180221,10:37:12,1030,0.286111111111,635,0.176388888889,394,216,178,0,FLAO,FLAOAO,15.5
20180307,02:01:14,5794,1.60944444444,4546,1.26277777778,804,550,253,443,FLAO,FLAOAO,15.9600000381
20180307,03:37:55,0,0.0,-891,-0.2475,565,508,56,326,FLAO,FLAOAO,15.9600000381
20180307,07:09:57,1026,0.285,704,0.195555555556,322,38,284,0,LBTI,FLAOAO,1.58000004292
